YEAR	MONTH	DAY	DAY_OF_WEEK	AIRLINE	FLIGHT_NUMBER	TAIL_NUMBER	ORIGIN_AIRPORT	DESTINATION_AIRPORT	SCHEDULED_DEPARTURE	DEPARTURE_DELAY	ARRIVAL_DELAY	CANCELLED
2015	1	1	4	AA	1184	N4YMAA	ABQ	DFW	725	14	17	0
2015	1	1	4	AA	336	N479AA	ABQ	DFW	900	-2	36	0
2015	1	1	4	AA	1662	N4WJAA	ABQ	DFW	1215	NA	NA	1
2015	1	1	4	AA	1024	N505AA	ABQ	DFW	1530	14	13	0
2015	1	1	4	AA	1635	N025AA	ATL	DFW	625	NA	NA	1
2015	1	1	4	AA	1455	N012AA	ATL	DFW	855	-4	-14	0
2015	1	1	4	AA	1513	N008AA	ATL	DFW	1045	-2	-7	0
2015	1	1	4	AA	314	N585AA	ATL	DFW	1155	15	14	0
2015	1	1	4	AA	1473	N575AA	ATL	DFW	1345	15	16	0
2015	1	1	4	AA	194	N025AA	ATL	DFW	1525	9	13	0
2015	1	1	4	AA	356	N006AA	ATL	DFW	1640	-5	1	0
2015	1	1	4	AA	125	N585AA	ATL	DFW	1755	-1	-21	0
2015	1	1	4	AA	232	N599AA	ATL	DFW	1900	-2	25	0
2015	1	1	4	AA	276	N4YCAA	ATL	DFW	2015	14	58	0
2015	1	1	4	AA	17	N019AA	ATL	MIA	700	-4	-10	0
2015	1	1	4	AA	1652	N015AA	ATL	MIA	815	-9	-29	0
2015	1	1	4	AA	349	N3KVAA	ATL	MIA	2110	-7	-3	0
2015	1	1	4	AA	1178	N573AA	AUS	DFW	550	-2	-1	0
2015	1	1	4	AA	1595	N553AA	AUS	DFW	650	-3	-15	0
2015	1	1	4	AA	1616	N4WNAA	AUS	DFW	740	NA	NA	1
2015	1	1	4	AA	1296	N4XEAA	AUS	DFW	830	-6	-14	0
2015	1	1	4	AA	1356	N3ALAA	AUS	DFW	905	-4	-16	0
2015	1	1	4	AA	1494	N4XVAA	AUS	DFW	1000	-9	-17	0
2015	1	1	4	AA	1484	N504AA	AUS	DFW	1105	NA	NA	1
