YEAR	MONTH	DAY	DAY_OF_WEEK	AIRLINE	FLIGHT_NUMBER	TAIL_NUMBER	ORIGIN_AIRPORT	DESTINATION_AIRPORT	SCHEDULED_DEPARTURE	DEPARTURE_DELAY	ARRIVAL_DELAY	CANCELLED
2015	1	1	4	DL	1969	N958DL	ABQ	ATL	800	-5	-9	0
2015	1	1	4	DL	1784	N959DL	ABQ	ATL	1319	-1	-22	0
2015	1	1	4	DL	1175	N945DL	ABQ	MSP	1035	-3	1	0
2015	1	1	4	DL	1543	N933DL	ALB	ATL	1244	-4	-10	0
2015	1	1	4	DL	1088	N682DA	ANC	MSP	600	-3	-40	0
2015	1	1	4	DL	2436	N393DA	ANC	SEA	1540	-11	-30	0
2015	1	1	4	DL	2230	N965DL	ATL	ABQ	1707	-4	-12	0
2015	1	1	4	DL	2216	N955DL	ATL	ABQ	1936	10	-12	0
2015	1	1	4	DL	2643	N969AT	ATL	AGS	1730	-3	-11	0
2015	1	1	4	DL	1997	N952DL	ATL	ALB	1505	-3	-9	0
2015	1	1	4	DL	2437	N979AT	ATL	ATW	1506	-2	-6	0
2015	1	1	4	DL	1118	N943DN	ATL	AUS	950	-1	-29	0
2015	1	1	4	DL	1837	N908DA	ATL	AUS	1230	-5	-6	0
2015	1	1	4	DL	686	N943DN	ATL	AUS	1610	-2	-18	0
2015	1	1	4	DL	1309	N903DA	ATL	AUS	1940	10	-6	0
2015	1	1	4	DL	1729	N935AT	ATL	AVL	1505	-3	-6	0
2015	1	1	4	DL	2289	N998AT	ATL	AVL	1940	-4	-16	0
2015	1	1	4	DL	2481	N607AT	ATL	AVP	2048	-2	-6	0
2015	1	1	4	DL	1260	N926DL	ATL	BDL	725	-2	-1	0
2015	1	1	4	DL	1247	N967DL	ATL	BDL	940	-1	-15	0
2015	1	1	4	DL	514	N914DE	ATL	BDL	1216	0	-13	0
2015	1	1	4	DL	1062	N901DE	ATL	BDL	1515	-6	-14	0
2015	1	1	4	DL	1224	N981AT	ATL	BHM	1030	-4	-17	0
2015	1	1	4	DL	2430	N310DE	ATL	BHM	1646	-7	-8	0
2015	1	1	4	DL	117	N961DL	ATL	BHM	1815	0	-2	0
2015	1	1	4	DL	1276	N919AT	ATL	BHM	1940	1	-7	0
2015	1	1	4	DL	1412	N893AT	ATL	BNA	1110	-3	-13	0
2015	1	1	4	DL	1899	N341NB	ATL	BNA	1515	-3	-16	0
2015	1	1	4	DL	1563	N3759	ATL	BNA	1631	-1	-10	0
2015	1	1	4	DL	1846	N957AT	ATL	BNA	1905	10	-2	0
2015	1	1	4	DL	1577	N3744F	ATL	BOS	850	17	7	0
2015	1	1	4	DL	1100	N938DN	ATL	BOS	1005	-4	-16	0
2015	1	1	4	DL	1200	N939DN	ATL	BOS	1115	0	-8	0
2015	1	1	4	DL	1820	N343NB	ATL	BOS	1259	-5	-18	0
2015	1	1	4	DL	980	N994DL	ATL	BOS	1455	-3	-17	0
2015	1	1	4	DL	1629	N933DL	ATL	BOS	1625	-7	-17	0
2015	1	1	4	DL	1900	N627DL	ATL	BOS	1750	0	-5	0
2015	1	1	4	DL	2100	N911DA	ATL	BOS	1857	8	-2	0
2015	1	1	4	DL	1159	N958DL	ATL	BUF	1343	0	-7	0
2015	1	1	4	DL	1176	N910DL	ATL	BUF	1510	-5	-13	0
2015	1	1	4	DL	2473	N982DL	ATL	BUF	2105	-1	-8	0
2015	1	1	4	DL	2025	N949DL	ATL	BWI	831	-4	-11	0
2015	1	1	4	DL	2125	N938DL	ATL	BWI	950	-5	-18	0
2015	1	1	4	DL	1495	N982DL	ATL	BWI	1110	-3	-18	0
2015	1	1	4	DL	1425	N931DL	ATL	BWI	1345	0	-15	0
2015	1	1	4	DL	1652	N936DL	ATL	BWI	1615	-3	-13	0
2015	1	1	4	DL	1924	N938DN	ATL	BWI	1725	-2	-11	0
2015	1	1	4	DL	2024	N931DL	ATL	BWI	1905	-3	-6	0
2015	1	1	4	DL	1562	N377DA	ATL	BZN	1100	0	-5	0
2015	1	1	4	DL	1245	N361NW	ATL	BZN	1954	-1	-20	0
2015	1	1	4	DL	803	N918DE	ATL	CAE	1818	-3	-5	0
2015	1	1	4	DL	1571	N996DL	ATL	CAK	1455	26	10	0
2015	1	1	4	DL	1768	N935AT	ATL	CHO	1930	-5	-7	0
2015	1	1	4	DL	2472	N909DE	ATL	CHS	1344	-2	-3	0
2015	1	1	4	DL	2459	N998AT	ATL	CHS	1539	-1	-16	0
2015	1	1	4	DL	2207	N302DQ	ATL	CHS	1650	-5	-19	0
2015	1	1	4	DL	1831	N303DQ	ATL	CHS	1755	-2	4	0
2015	1	1	4	DL	1485	N904DE	ATL	CHS	1915	-10	6	0
2015	1	1	4	DL	1470	N994AT	ATL	CLE	848	-4	-18	0
2015	1	1	4	DL	2529	N929DL	ATL	CLE	1205	-5	-19	0
2015	1	1	4	DL	2580	N921DL	ATL	CLE	1442	7	0	0
2015	1	1	4	DL	1095	N988DL	ATL	CLT	1030	-4	-24	0
2015	1	1	4	DL	2133	N322US	ATL	CLT	1345	18	14	0
2015	1	1	4	DL	1441	N355NB	ATL	CLT	1620	0	-13	0
2015	1	1	4	DL	2052	N357NW	ATL	CLT	1945	14	17	0
2015	1	1	4	DL	1076	N962DN	ATL	CLT	2045	-1	-13	0
2015	1	1	4	DL	755	N302DQ	ATL	CMH	1209	-2	-8	0
2015	1	1	4	DL	1695	N931DN	ATL	CMH	1425	-5	-10	0
2015	1	1	4	DL	1314	N905DL	ATL	CMH	1600	31	20	0
2015	1	1	4	DL	1736	N901DA	ATL	CMH	1700	-3	-12	0
2015	1	1	4	DL	1347	N909DA	ATL	CMH	1920	-2	-13	0
2015	1	1	4	DL	2117	N384DA	ATL	COS	1828	-2	-13	0
2015	1	1	4	DL	2011	N912DE	ATL	CVG	905	-2	-10	0
2015	1	1	4	DL	1955	N910DE	ATL	CVG	1205	-4	-6	0
2015	1	1	4	DL	1126	N3767	ATL	CVG	1610	-2	2	0
2015	1	1	4	DL	990	N321US	ATL	CVG	1925	0	1	0
2015	1	1	4	DL	1087	N936DL	ATL	DAB	1205	-3	-12	0
2015	1	1	4	DL	1623	N964DL	ATL	DAB	1610	-2	-7	0
2015	1	1	4	DL	1549	N928DL	ATL	DAB	2051	-5	-7	0
2015	1	1	4	DL	2250	N978AT	ATL	DAL	2109	-4	-6	0
2015	1	1	4	DL	1521	N910AT	ATL	DAY	1425	-1	-9	0
2015	1	1	4	DL	2552	N983DL	ATL	DAY	1828	-3	-15	0
2015	1	1	4	DL	2306	N942DN	ATL	DAY	2106	-10	-23	0
2015	1	1	4	DL	2438	N950DL	ATL	DCA	920	4	-1	0
2015	1	1	4	DL	150	N692DL	ATL	DCA	1100	-2	-18	0
2015	1	1	4	DL	2238	N951DN	ATL	DCA	1320	19	18	0
2015	1	1	4	DL	1438	N956DN	ATL	DCA	1520	-3	-12	0
2015	1	1	4	DL	1810	N325US	ATL	DCA	1620	-2	-16	0
2015	1	1	4	DL	1641	N925AT	ATL	DCA	1820	-3	-1	0
2015	1	1	4	DL	1638	N3751B	ATL	DCA	1920	0	-10	0
2015	1	1	4	DL	1578	N372DA	ATL	DEN	810	-1	-3	0
2015	1	1	4	DL	1316	N6705Y	ATL	DEN	935	-2	-20	0
2015	1	1	4	DL	315	N136DL	ATL	DEN	1035	-2	-19	0
2015	1	1	4	DL	1916	N555NW	ATL	DEN	1205	-2	-3	0
2015	1	1	4	DL	1499	N920DN	ATL	DEN	1350	61	33	0
