ID	Control	Treatment
10000_at	3.277900431	3.248269313
10001_at	7.774841879	8.010278859
10002_i_at	10.37131128	9.403907381
10003_f_at	11.96913612	10.34617623
10004_at	3.524476679	3.596123934
10005_at	7.33552795	6.89961319
10006_at	7.525296039	6.445591628
10007_at	5.574574221	6.79050683
10008_at	5.005129507	7.167284415
10009_at	5.438154438	4.798545314
10010_at	9.050702853	7.7591381
10011_at	3.815330549	3.335932717
10012_at	8.962903638	9.63367427
10013_at	7.073100676	6.35505919
10014_at	8.474122307	8.237544188
10015_at	9.977746796	9.206076238
10016_at	8.341195675	8.712319944
10017_at	3.942355032	4.738651118
10018_at	9.299466137	11.01360012
10019_at	7.774180064	8.808702923
10020_at	5.610431157	6.479780818
10021_at	4.707262279	4.753519931
10022_at	3.93590285	3.820246627
10023_at	4.129488286	4.041345087
10024_at	7.30483819	6.979715374
10025_at	4.734776515	4.572125334
10026_at	5.146215029	5.695809204
10027_at	5.82955309	7.420080901
10028_at	6.33144506	5.334181451
10029_at	6.016036371	4.960338003
10030_at	4.354058287	4.177936278
10031_at	7.68968667	5.467194053
10032_at	5.516516074	4.15447625
10033_at	6.398812784	5.451539309
10034_at	8.865170096	5.72338893
10035_at	6.184202032	5.439578694
10036_at	6.442288174	5.887490945
10037_at	6.237994066	6.170934414
10038_i_at	6.545403555	8.165911995
10039_s_at	4.889680079	5.372236968
10040_at	3.976746924	5.067335458
10041_at	4.563934743	4.191011854
10042_at	2.966585152	3.095302749
10043_at	5.637887192	7.169945378
10044_at	8.346364012	5.534851802
10045_at	7.449972239	9.388288061
10046_at	5.021091866	3.018349495
10047_f_at	12.49640315	11.51363682
10048_at	5.600418242	4.809967192
10049_at	5.795255859	5.581842906
10050_at	7.11458848	8.308460162
10051_at	8.363286505	7.099513937
10052_at	8.299204925	6.980558735
10053_at	11.17708381	8.853411178
10054_at	7.414105132	7.221354303
10055_at	6.234282253	6.403377988
10056_at	8.391311277	8.734828345
10057_at	5.807002123	6.184213543
10058_at	5.957264752	9.701960247
10059_at	9.237406187	9.989231983
10060_at	5.493086519	10.14069885
10061_at	10.33692497	11.47832946
10062_at	6.530843056	5.924109979
10063_i_at	6.238466809	3.514423292
10064_s_at	7.195088863	4.017112607
10065_at	5.669906803	3.066232193
10066_s_at	8.709592856	7.284488923
10067_at	5.058781156	4.874035276
10068_i_at	11.975189	7.302935928
10069_f_at	10.8249542	6.588364111
10070_at	3.440767145	3.300697242
10071_at	4.072947839	4.492553997
10072_at	3.983203137	4.172022202
10073_at	5.752678565	5.577249564
10074_at	3.215666181	3.694176324
10075_at	5.581230388	8.00800915
10076_at	4.334026713	5.159869311
10077_at	4.90129226	3.740302415
10078_at	4.795746429	5.187136316
10079_at	3.937601241	4.220479591
10080_at	4.042518456	3.98921395
10081_at	4.165839705	4.527017486
10082_at	4.662074399	4.937275416
10083_g_at	4.958821455	4.856720816
10084_at	5.705319922	5.98353038
10085_at	10.96365992	9.614090474
10086_at	4.797559964	5.415928468
10087_at	5.10303574	4.773192248
10088_at	4.612400557	5.602715812
10089_at	5.797721609	7.37867473
10090_at	5.500061168	4.092709664
10091_at	9.857454372	6.54729603
10092_at	8.548585934	7.711284217
10093_at	7.13894285	6.252342293
10094_at	7.215526235	6.475806126
10095_at	5.858209123	8.82101916
